titel	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	srt	Naam	Type	toevoeging	bezoekadres	Postcode	Plaats	postadres	post_pc	tel	fax	email	internet	directie	stadsdeel	brin	Meer info van DMO
De Visserschool	de_visserschool		0000-00-00 00:00:00	Columbusplein 34	1057 VB		POINT(4.85484 52.36679)		Amsterdam	Basisschool	PO	De Visserschool	Protestants Christelijk		Columbusplein 34	1057 VB	Amsterdam	Columbusplein 34	1057VB Amsterdam	618 04 81	616 07 95	visser@devisserschool.nl	www.devisserschool.nl	Mw. C. van Egmond	West	13FM00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13FM00.htm
Basisschool Valentijn	basisschool_valentijn		0000-00-00 00:00:00	Soembawastraat 63	1095 VZ		POINT(4.94378 52.363)		Amsterdam	Basisschool	PO	Basisschool Valentijn	Protestants Christelijk		Soembawastraat 63	1095 VZ	Amsterdam	Soembawastraat 63	1095VZ Amsterdam	665 67 23	693 30 60	info@devalentijnschool.nl	www.devalentijnschool.nl	mw. T. Kromhout	Oost	13FR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13FR00.htm
Samenspel  locatie Kantershof	samenspel_locatie_kantershof		0000-00-00 00:00:00	Kantershof 636	1104 HJ		POINT(4.98563 52.31921)		Amsterdam Zuidoost	Basisschool	PO	Samenspel  locatie Kantershof	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Kantershof 636	1104 HJ	Amsterdam Zuidoost	Kantershof 636	1104HJ Amsterdam Zuidoost	416 51 95	416 51 97	directie@bssamenspel.nl	www.bssamenspel.nl	mw. M.J.B. van Amersfoort (dir.) en mw. C.A.L. Kisoensingh-Ramcharan,  mw. Y.B. Plug en mw. M.Y. Brown (schoolco�rdinatoren) 	Zuidoost	13HX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13HX00.htm
Samenspel  locatie Geerdinkhof	samenspel_locatie_geerdinkhof		0000-00-00 00:00:00	Geerdinkhof 685-686	1103 RP		POINT(4.98115 52.32394)		Amsterdam Zuidoost	Basisschool	PO	Samenspel  locatie Geerdinkhof	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Geerdinkhof 685-686	1103 RP	Amsterdam Zuidoost	Geerdinkhof 685-686	1103RP Amsterdam Zuidoost	416 78 98		directie@bssamenspel.nl	www.bssamenspel.nl	mw. M.J.B. van Amersfoort (dir.) en mw. I.D. Sastromedjo (adj.dir.)	Zuidoost	13HX02	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13HX02.htm
Basisschool Ichthus	basisschool_ichthus		0000-00-00 00:00:00	Louis Davidsstraat 101	1068 SJ		POINT(4.8103 52.35193)		 Amsterdam	Basisschool	PO	Basisschool Ichthus	Protestants Christelijk		Louis Davidsstraat 101	1068 SJ	 Amsterdam	Louis Davidsstraat 101	1068SJ  Amsterdam	619 12 43	619 83 37	info@deichthusschool.nl	www.deichthusschool.nl	dhr. J. de Vlugt (dir.) en mw. I. de Vries (adj.dir.)	Nieuw-West	13KX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13KX00.htm
Basisschool Dr. Rijk Kramer	basisschool_dr_rijk_kramer		0000-00-00 00:00:00	Nassaukade 124	1052 EC		POINT(4.87439 52.37379)		Amsterdam	Basisschool	PO	Basisschool Dr. Rijk Kramer	Protestants Christelijk		Nassaukade 124	1052 EC	Amsterdam	Nassaukade 124	1052EC Amsterdam	682 08 37	686 31 69	info@rijkkramer.nl	www.rijkkramer.nl	dhr. C.P. de Groot en dhr. F.Q. de Wit 	West	13MS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13MS00.htm
Basisschool Dr. Rijk Kramer	basisschool_dr_rijk_kramer_1		0000-00-00 00:00:00	Van Oldenbarneveldtstraat 42	1052 KC		POINT(4.87499 52.37634)		Amsterdam	Basisschool	PO	Basisschool Dr. Rijk Kramer	Protestants Christelijk		Van Oldenbarneveldtstraat 42	1052 KC	Amsterdam	Nassaukade 124	1052EC Amsterdam	682 16 01		info@rijkkramer.nl	www.rijkkramer.nl	dhr. C.P. de Groot en dhr. F.Q. de Wit 	West	13MS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13MS00.htm
Basisschool De Vlinderboom	basisschool_de_vlinderboom		0000-00-00 00:00:00	Nicolaas Beetsstraat 40	1053 RM		POINT(4.86468 52.36618)		Amsterdam	Basisschool	PO	Basisschool De Vlinderboom	Protestants Christelijk	Basisschool voor Natuurlijk Leren	Nicolaas Beetsstraat 40	1053 RM	Amsterdam	Nicolaas Beetsstraat 40	1053RM Amsterdam	612 76 13		info@basisschooldevlinderboom.nl	www.basisschooldevlinderboom.nl		West	13MS01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13MS01.htm
Basisschool Klaverblad	basisschool_klaverblad		0000-00-00 00:00:00	Darlingstraat 1	1102 MX		POINT(4.95478 52.31352)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Klaverblad	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Darlingstraat 1	1102 MX	Amsterdam Zuidoost	Darlingstraat 1	1102MX Amsterdam Zuidoost	695 00 62	600 43 74	directie@bsklaverblad.nl	www.bsklaverblad.nl	dhr. M.H.  Zegwaard (dir.) en mw. Z. Hassankhan (adj.dir.)	Zuidoost	13MZ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13MZ00.htm
Paulusschool	paulusschool		0000-00-00 00:00:00	Wiltzanghlaan 93	1061 HB		POINT(4.84052 52.3816)		Amsterdam	Basisschool	PO	Paulusschool	Protestants Christelijk		Wiltzanghlaan 93	1061 HB	Amsterdam	Wiltzanghlaan 93	1061HB Amsterdam	682 04 03	488 49 78	paulusschool@paulusschool.nl	www.paulusschool.nl	mw. M. Smiers (dir.) en mw. A. de Leeuw (adj. dir.)	West	13PN00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13PN00.htm
Prof. Dr. H. Kraemerschool	prof_dr_h_kraemerschool		0000-00-00 00:00:00	Nieuwe Laan 34	1068 BZ		POINT(4.79905 52.36283)		Amsterdam	Basisschool	PO	Prof. Dr. H. Kraemerschool	Protestants Christelijk		Nieuwe Laan 34	1068 BZ	Amsterdam	Nieuwe Laan 34	1068BZ Amsterdam	619 00 94	610 70 89	admin@kraemerschool.nl	www.kraemerschool.nl	mw. N.Rutz-Schalk 	Nieuw-West	13PR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13PR00.htm
Prof. Dr. H. Kraemerschool	prof_dr_h_kraemerschool_1		0000-00-00 00:00:00	Nieuwe Laan 4	1068 BZ		POINT(4.79966 52.36252)		Amsterdam	Basisschool	PO	Prof. Dr. H. Kraemerschool	Protestants Christelijk		Nieuwe Laan 4	1068 BZ	Amsterdam	Nieuwe Laan 34	1068BZ Amsterdam	619 00 94	610 70 89	admin@kraemerschool.nl	www.kraemerschool.nl	mw. N.Rutz-Schalk 	Nieuw-West	13PR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13PR00.htm
Basisschool Mobiel 1e Locatie	basisschool_mobiel_1e_locatie		0000-00-00 00:00:00	Reigersbos 313	1107 EZ		POINT(4.97572 52.29402)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Mobiel 1e Locatie	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Reigersbos 313	1107 EZ	Amsterdam Zuidoost	Reigersbos 313	1107EZ Amsterdam Zuidoost	697 37 35	569 87 76	directie@bsmobiel.nl	www.bsmobiel.nl	mw. J. Vonk (dir. a.i.) en mw. S.E.A. Visser-Karbet (schoolco�rdinator) 	Zuidoost	13RO00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13RO00.htm
Basisschool Mobiel 2e Locatie 	basisschool_mobiel_2e_locatie		0000-00-00 00:00:00	Mijehof 406	1106 HW		POINT(4.96864 52.30011)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Mobiel 2e Locatie 	Samenwerking PC, RK	onderwijs op levensbeschouwelijke grondslag	Mijehof 406	1106 HW	Amsterdam Zuidoost	Mijehof 406	1106HW Amsterdam Zuidoost	696 79 98	365 55 18	directie@bsmobiel.nl	www.bsmobiel.nl	mw. J. Vonk (dir. a.i.) en mw. M.K. Goercharan (schoolco�rdinator) 	Zuidoost	13RO00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13RO00.htm
Timotheusschool	timotheusschool		0000-00-00 00:00:00	Sam van Houtenstraat 2	1067 JM		POINT(4.80552 52.37952)		Amsterdam	Basisschool	PO	Timotheusschool	Protestants Christelijk		Sam van Houtenstraat 2	1067 JM	Amsterdam	Sam van Houtenstraat 2	1067JM Amsterdam	613 26 99		info@timotheusschool.com	www.timotheusschool.com	mw. A. Winkelman (dir.) en R. van Kalderen (adj.dir.)	Nieuw-West	13TM00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13TM00.htm
Basisschool Pro Rege	basisschool_pro_rege		0000-00-00 00:00:00	Hemsterhuisstraat 87	1065 JX		POINT(4.82242 52.36077)		Amsterdam	Basisschool	PO	Basisschool Pro Rege	Protestants Christelijk		Hemsterhuisstraat 87	1065 JX	Amsterdam	Hemsterhuisstraat 87	1065JX Amsterdam	615 27 36	615 27 09	proregeschool@proregeschool.nl	www.proregeschool.nl	mw. A.E. de Kooker	Nieuw-West	13VH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13VH00.htm
Montessorischool De Regenboog	montessorischool_de_regenboog		0000-00-00 00:00:00	Woudrichemstraat 5	1107 NE		POINT(4.98687 52.29383)		Amsterdam Zuidoost	Basisschool	PO	Montessorischool De Regenboog	Rooms Katholiek	1e Katholieke Montessorischool	Woudrichemstraat 5	1107 NE	Amsterdam Zuidoost	Woudrichemstraat 5	1107NE Amsterdam Zuidoost	697 21 76		regenboog.directie@askoscholen.nl	www.regenboogamsterdam.net	dhr. R. Schimmel	Zuidoost	13WU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13WU00.htm
Johannesschool	johannesschool		0000-00-00 00:00:00	Evertsweertplantsoen 3b	1069 RK		POINT(4.79343 52.35605)		Amsterdam	Basisschool	PO	Johannesschool	Protestants Christelijk		Evertsweertplantsoen 3b	1069 RK	Amsterdam	Evertsweertplantsoen 3b	1069RK Amsterdam	619 04 66	619 56 31	info@johannesschool.com	www.johannesschool.com	dhr. R. de Jong	Nieuw-West	13WX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/13WX00.htm
Noordmansschool	noordmansschool		0000-00-00 00:00:00	Louis Couperusstraat 129	1064 CE		POINT(4.82484 52.37582)		Amsterdam	Basisschool	PO	Noordmansschool	Protestants Christelijk		Louis Couperusstraat 129	1064 CE	Amsterdam	Louis Couperusstraat 129	1064CE Amsterdam	613 35 45	411 66 70	info@noordmansschool.nl	www.noordmansschool.nl	mw. P. Riet	Nieuw-West	14AI00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14AI00.htm
Dr. W.A. Visser `t Hooftschool	dr_w_a_visser_t_hooftschool		0000-00-00 00:00:00	Hoekslootstraat 7	1069 EJ		POINT(4.78688 52.35647)		Amsterdam	Basisschool	PO	Dr. W.A. Visser `t Hooftschool	Protestants Christelijk	Jenaplan	Hoekslootstraat 7	1069 EJ	Amsterdam	Hoekslootstraat 7	1069EJ Amsterdam	667 00 01	619 99 50	visserthooftschool@visserthooftschool.nl	www.visserthooftschool.nl	mw. H.R. Stael	Nieuw-West	14DP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14DP00.htm
Basisschool De Kinderboom	basisschool_de_kinderboom		0000-00-00 00:00:00	Adelaarsweg 113	1021 BZ		POINT(4.92027 52.38861)		Amsterdam	Basisschool	PO	Basisschool De Kinderboom	Protestants Christelijk		Adelaarsweg 113	1021 BZ	Amsterdam	Adelaarsweg 113	1021BZ Amsterdam	636 81 72	637 35 83	directie@dekinderboom.nl	www.dekinderboom.nl	dhr. A. Bakker	Noord	14GL00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14GL00.htm
Basisschool de Capelle	basisschool_de_capelle		0000-00-00 00:00:00	Rode Kruisstraat 18	1025 KN		POINT(4.92692 52.3956)		Amsterdam	Basisschool	PO	Basisschool de Capelle	Protestants Christelijk		Rode Kruisstraat 18	1025 KN	Amsterdam	Rode Kruisstraat 18	1025KN Amsterdam	636 77 23	636 77 55	info@decapelle.nl	www.decapelle.nl	mw. S. Rietveld 	Noord	14JC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14JC00.htm
Basisschool De Vijf Sterren	basisschool_de_vijf_sterren		0000-00-00 00:00:00	Markengouw 428	1024 EK		POINT(4.95783 52.3973)		Amsterdam	Basisschool	PO	Basisschool De Vijf Sterren	Protestants Christelijk		Markengouw 428	1024 EK	Amsterdam	Markengouw 428	1024EK Amsterdam	636 76 24	636 76 24	info@amstelmeerschool.nl	www.amstelmeerschool.nl	mw. T. Michel	Noord	14LP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14LP00.htm
St. Jozefschool	st_jozefschool		0000-00-00 00:00:00	Kalfjeslaan 370	1081 JA		POINT(4.86033 52.32221)		Amsterdam	Basisschool	PO	St. Jozefschool	Rooms Katholiek		Kalfjeslaan 370	1081 JA	Amsterdam	Kalfjeslaan 370	1081JA Amsterdam	643 20 20	453 95 69	stjozef.directie@askoscholen.nl	www.sintjozefschoolamsterdam.nl	mw. R. Atteveld	Zuid	15RG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/15RG00.htm
Basisschool De Avonturijn	basisschool_de_avonturijn		0000-00-00 00:00:00	Rustenburgerstraat 236	1073 GK		POINT(4.89881 52.35263)		Amsterdam	Basisschool	PO	Basisschool De Avonturijn	Rooms Katholiek	Ontwikkelingsgericht Onderwijs	Rustenburgerstraat 236	1073 GK	Amsterdam	Rustenburgerstraat 236	1073GK Amsterdam	676 78 99	679 69 19	avonturijn.info@askoscholen.nl	www.avonturijnschool.nl	mw. G.C.H. Beikes	Zuid	15WB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/15WB00.htm
Basisschool De Botteloef	basisschool_de_botteloef		0000-00-00 00:00:00	Overslag 1	1034 RR		POINT(4.91805 52.41087)		Amsterdam	Basisschool	PO	Basisschool De Botteloef	Rooms Katholiek		Overslag 1	1034 RR	Amsterdam	Overslag 1	1034RR Amsterdam	631 71 84	492 41 75	botteloef.administratie@askoscholen.nl	www.botteloef.nl	dhr. Eddy Nan	Noord	15YE00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/15YE00.htm
Basisschool De Boomgaard	basisschool_de_boomgaard		0000-00-00 00:00:00	Gibraltarstraat 61	1055 NK		POINT(4.85002 52.38383)		Amsterdam	Basisschool	PO	Basisschool De Boomgaard	Rooms Katholiek	Brede School	Gibraltarstraat 61	1055 NK	Amsterdam	Gibraltarstraat 61	1055NK Amsterdam	682 22 70	688 03 85	boomgaard.info@askoscholen.nl	www.boomgaardschool.nl	mw. D. Maas	West	16AD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16AD00.htm
Basisschool De Bron	basisschool_de_bron		0000-00-00 00:00:00	Van Beuningenstraat 141	1051 XM		POINT(4.87448 52.38234)		Amsterdam	Basisschool	PO	Basisschool De Bron	Rooms Katholiek	KBS	Van Beuningenstraat 141	1051 XM	Amsterdam	Van Beuningenstraat 141	1051XM Amsterdam	686 49 13		bron.info@askoscholen.nl	www.bronschool.nl	mw. R. de Vries	West	16DF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16DF00.htm
Sint Janschool	sint_janschool		0000-00-00 00:00:00	Kortenaerstraat 32	1057 JN		POINT(4.86204 52.36949)		Amsterdam	Basisschool	PO	Sint Janschool	Rooms Katholiek	Ontwikkelingsgericht Onderwijs	Kortenaerstraat 32	1057 JN	Amsterdam	Kortenaerstraat 32	1057JN Amsterdam	618 74 81		stjan.directie@askoscholen.nl	www.stjanschool.nl	dhr. J. Bakker (dir.) en D. Blikslager (adj.dir.)	West	16EP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16EP00.htm
Basisschool De Pool	basisschool_de_pool		0000-00-00 00:00:00	Poolstraat 2	1018 LR		POINT(4.92134 52.37075)		Amsterdam	Basisschool	PO	Basisschool De Pool	Rooms Katholiek	Ontwikkelingsgericht Onderwijs	Poolstraat 2	1018 LR	Amsterdam	Poolstraat 2	1018LR Amsterdam	622 45 84	428 63 81	pool.info@askoscholen.nl	www.bsdepool.nl	mw. S. van Vliet	Centrum	16FV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16FV00.htm
Basisschool St Lukasschool	basisschool_st_lukasschool		0000-00-00 00:00:00	Osdorper Ban 134	1069 ZR		POINT(4.78925 52.35998)		Amsterdam	Basisschool	PO	Basisschool St Lukasschool	Rooms Katholiek		Osdorper Ban 134	1069 ZR	Amsterdam	Osdorper Ban 134	1069ZR Amsterdam	619 09 66	367 07 61	stlukas.info@askoscholen.nl	www.stlukasschool.nl	mw. Janny  Boot (dir.) en  mw. M. Willemse (adj.dir.)	Nieuw-West	16HF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16HF00.htm
Basisschool De Satelliet	basisschool_de_satelliet		0000-00-00 00:00:00	Kometensingel 52-54	1033 BW		POINT(4.89392 52.41511)		Amsterdam	Basisschool	PO	Basisschool De Satelliet	Rooms Katholiek		Kometensingel 52-54	1033 BW	Amsterdam	Kometensingel 52-54	1033BW Amsterdam	493 04 31	493 04 32	satelliet.administratie@askoscholen.nl	www.satellietschool.nl	mw.  A.C. ter Meulen	Noord	16IP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16IP00.htm
Basisschool De Waaier	basisschool_de_waaier		0000-00-00 00:00:00	Obiplein 115	1094 RB		POINT(4.93852 52.36027)		Amsterdam	Basisschool	PO	Basisschool De Waaier	Rooms Katholiek		Obiplein 115	1094 RB	Amsterdam	Obiplein 115	1094RB Amsterdam	692 39 80	692 77 44	waaier.info@askoscholen.nl	www.waaier.nl	dhr. F.A.M. Niekel	Oost	16JU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16JU00.htm
Elisabeth Paulusschool	elisabeth_paulusschool		0000-00-00 00:00:00	Zaandijkstraat 3	1013 VM		POINT(4.87969 52.38788)		Amsterdam	Basisschool	PO	Elisabeth Paulusschool	Rooms Katholiek		Zaandijkstraat 3	1013 VM	Amsterdam	Zaandijkstraat 3	1013VM Amsterdam	682 92 49		elisabethpaulus.info@askoscholen.nl	www.elpaulus.nl	mw. A.T.M. van Bemmel (dir.) en mw. M.S. Janssen (adj.dir.)	West	16KV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16KV00.htm
Sint Catharinaschool	sint_catharinaschool		0000-00-00 00:00:00	Vechtstraat 88	1079 JN		POINT(4.90667 52.34468)		Amsterdam	Basisschool	PO	Sint Catharinaschool	Rooms Katholiek		Vechtstraat 88	1079 JN	Amsterdam	Vechtstraat 88	1079JN Amsterdam	644 50 66		stcatharina.info@askoscholen.nl	www.catharinaschool.nl	dhr. R. Baggen	Zuid	16LX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16LX00.htm
Rosaschool	rosaschool		0000-00-00 00:00:00	Varenweg 2	1031 CB		POINT(4.91692 52.38974)		Amsterdam	Basisschool	PO	Rosaschool	Rooms Katholiek		Varenweg 2	1031 CB	Amsterdam	Varenweg 2	1031CB Amsterdam	636 87 26		strosa.info@askoscholen.nl	www.rosaschool.nl	dhr. D.E. Do�ng	Noord	16MW00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16MW00.htm
Sint-Aloysiusschool	sint_aloysiusschool		0000-00-00 00:00:00	Westerstraat 297	1015 MH		POINT(4.88047 52.3777)		Amsterdam	Basisschool	PO	Sint-Aloysiusschool	Rooms Katholiek		Westerstraat 297	1015 MH	Amsterdam	Westerstraat 297	1015MH Amsterdam	622 41 21	330 39 74	staloysius.info@askoscholen.nl	www.sint-aloysiusschool.nl	mw. Marion Mulder	Centrum	16NP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/16NP00.htm
St. Lidwinaschool	st_lidwinaschool		0000-00-00 00:00:00	Linnaeushof 45	1098 KM		POINT(4.93542 52.35221)		Amsterdam	Basisschool	PO	St. Lidwinaschool	Rooms Katholiek		Linnaeushof 45	1098 KM	Amsterdam	locatie: Linnaeushof 45	1098KM Amsterdam	665 07 69		stlidwina.info@askoscholen.nl	www.lidwinaschool.nl	dhr. Maarten Berkers (dir.) en  mw. Ria Stijger en dhr. Sebastiaan van Huet (adj.dir.)	Oost	17AC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17AC00.htm
St. Lidwinaschool	st_lidwinaschool_1		0000-00-00 00:00:00	Ringdijk 44	1097 AE		POINT(4.9237 52.3528)		Amsterdam	Basisschool	PO	St. Lidwinaschool	Rooms Katholiek		Ringdijk 44	1097 AE	Amsterdam	locatie:  Ringdijk 44	1097AE Amsterdam	694 55 43		stlidwina.info@askoscholen.nl	www.lidwinaschool.nl	dhr. Maarten Berkers (dir.) en  mw. Ria Stijger en dhr. Sebastiaan van Huet (adj.dir.)	Oost	17AC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17AC00.htm
Bisschop Huibersschool	bisschop_huibersschool		0000-00-00 00:00:00	Jacob Geelstraat 48	1065 VT		POINT(4.83039 52.36013)		Amsterdam	Basisschool	PO	Bisschop Huibersschool	Rooms Katholiek		Jacob Geelstraat 48	1065 VT	Amsterdam	Jacob Geelstraat 48	1065VT Amsterdam	615 26 97	669 10 49	bisschophuibers.info@askoscholen.nl	www.huibersschool.nl	dhr. R. Moes	Nieuw-West	17BB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/17BB00.htm
Basischool De Notenkraker	basischool_de_notenkraker		0000-00-00 00:00:00	Theophile de Bockstraat 100 D	1058 VC		POINT(4.84624 52.355)		Amsterdam	Basisschool	PO	Basischool De Notenkraker	Openbaar	Kunstmagneetschool	Theophile de Bockstraat 100 D	1058 VC	Amsterdam	Theophile de Bockstraat 100 D	1058VC Amsterdam	617 81 28		info@bsdenotenkraker.nl	www.bsdenotenkraker.nl	mw. A. v. Zalinge	Zuid	18RN00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18RN00.htm
Basischool De Blauwe Lijn	basischool_de_blauwe_lijn		0000-00-00 00:00:00	Kortvoort 61a	1104 NA		POINT(4.97026 52.31577)		Amsterdam Zuidoost	Basisschool	PO	Basischool De Blauwe Lijn	Openbaar	Jenaplan	Kortvoort 61a	1104 NA	Amsterdam Zuidoost	Kortvoort 61a	1104NA Amsterdam Zuidoost	690 73 60	690 73 86	directie@deblauwelijn.nl	www.deblauwelijn.nl	mw. Marga van Ree 	Zuidoost	18TV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18TV00.htm
Dr. E. Boekmanschool	dr_e_boekmanschool		0000-00-00 00:00:00	Korte Lepelstraat 81	1018 ZA		POINT(4.90968 52.36345)		Amsterdam	Basisschool	PO	Dr. E. Boekmanschool	Openbaar	hoofdvestiging	Korte Lepelstraat 81	1018 ZA	Amsterdam	Korte Lepelstraat 81	1018ZA Amsterdam	622 97 85	330 74 35	info@boekmanschool.nl	www.boekmanschool.nl	mw. J. Bosma	Centrum	18UH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18UH00.htm
Basisschool De Kleine Reus	basisschool_de_kleine_reus		0000-00-00 00:00:00	Nieuwe Looiersstraat 9	1017 VA		POINT(4.89226 52.36087)		Amsterdam	Basisschool	PO	Basisschool De Kleine Reus	Openbaar	Ontwikkelingsgericht Onderwijs	Nieuwe Looiersstraat 9	1017 VA	Amsterdam	Nieuwe Looiersstraat 9	1017VA Amsterdam	320 77 35		info@dekleinereus.org	www.dekleinereus.org	mw. M. Heijster (dir.) en mw. A. Goossens (adj.dir.)	Centrum	18UH01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18UH01.htm
Basisschool De Kleine Reus	basisschool_de_kleine_reus_1		0000-00-00 00:00:00	Nieuwe Looiersstraat 49	1017 VB		POINT(4.89459 52.36061)		Amsterdam	Basisschool	PO	Basisschool De Kleine Reus	Openbaar		Nieuwe Looiersstraat 49	1017 VB	Amsterdam	Nieuwe Looiersstraat 9	1017VA Amsterdam	626 53 55		info@dekleinereus.org	www.dekleinereus.org	mw. M. Heijster (dir.) en mw. A. Goossens (adj.dir.)	Centrum	18UH01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18UH01.htm
Basisschool Aldoende	basisschool_aldoende		0000-00-00 00:00:00	Tweede Boerhaavestraat 22	1091 AN		POINT(4.91123 52.35889)		Amsterdam	Basisschool	PO	Basisschool Aldoende	Openbaar	Dalton	Tweede Boerhaavestraat 22	1091 AN	Amsterdam	Tweede Boerhaavestraat 22	1091AN Amsterdam	665 26 63		info@obsaldoende.nl	www.obsaldoende.nl	dhr. drs. F. Lie-A-Ling (dir.) en dhr. J. Los (adj.dir.)	Oost	18UR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18UR00.htm
Basisschool Aldoende	basisschool_aldoende_1		0000-00-00 00:00:00	Tweede Boerhaavestraat 47	1091 AL		POINT(4.91351 52.35982)		Amsterdam	Basisschool	PO	Basisschool Aldoende	Openbaar	Dalton	Tweede Boerhaavestraat 47	1091 AL	Amsterdam	Tweede Boerhaavestraat 22	1091AN Amsterdam	468 59 09		info@obsaldoende.nl	www.obsaldoende.nl	dhr. drs. F. Lie-A-Ling (dir.) en dhr. J. Los (adj.dir.)	Oost	18UR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18UR00.htm
O.B.S. Bos en Lommer	o_b_s_bos_en_lommer		0000-00-00 00:00:00	Flierefluiterpad 15	1061 ER		POINT(4.84034 52.38033)		Amsterdam	Basisschool	PO	O.B.S. Bos en Lommer	Openbaar		Flierefluiterpad 15	1061 ER	Amsterdam	Postbus 56763	1040AT Amsterdam	686 25 18		infobl@bosenlommerschool.nl	www.bosenlommerschool.nl	mw. T. van den Berg (dir.) en mw. I. Schaefers (adj.dir.)	West	18VB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18VB00.htm
